Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,1.850000,1.850000,1.710000,1.720000,1.720000,2886900
2021-12-28,1.700000,1.750000,1.610000,1.620000,1.620000,1860100
2021-12-29,1.610000,1.620000,1.520000,1.530000,1.530000,2785700
2021-12-30,1.510000,1.710000,1.500000,1.630000,1.630000,3207000
2021-12-31,1.600000,1.680000,1.560000,1.570000,1.570000,2299100
2022-01-03,1.590000,1.760000,1.590000,1.760000,1.760000,2259300
2022-01-04,1.770000,1.790000,1.670000,1.700000,1.700000,1373900
2022-01-05,1.700000,1.780000,1.530000,1.550000,1.550000,2919800
2022-01-06,1.550000,1.630000,1.530000,1.550000,1.550000,977300
2022-01-07,1.530000,1.600000,1.510000,1.510000,1.510000,1145800
2022-01-10,1.510000,1.510000,1.400000,1.450000,1.450000,2291300
2022-01-11,1.450000,1.530000,1.420000,1.480000,1.480000,1403100
2022-01-12,1.480000,1.540000,1.430000,1.440000,1.440000,1428300
2022-01-13,1.440000,1.480000,1.390000,1.400000,1.400000,1441400
2022-01-14,1.400000,1.490000,1.400000,1.470000,1.470000,2242600
2022-01-18,1.460000,1.500000,1.380000,1.400000,1.400000,2418500
2022-01-19,1.380000,1.430000,1.290000,1.300000,1.300000,2691700
2022-01-20,1.330000,1.360000,1.200000,1.200000,1.200000,1910900
2022-01-21,1.180000,1.200000,1.110000,1.120000,1.120000,2252800
2022-01-24,1.060000,1.130000,1.000000,1.130000,1.130000,2609400
2022-01-25,1.120000,1.160000,1.100000,1.150000,1.150000,858800
2022-01-26,1.190000,1.230000,1.080000,1.110000,1.110000,1701300
2022-01-27,1.140000,1.170000,1.030000,1.060000,1.060000,1379900
2022-01-28,1.050000,1.110000,1.010000,1.100000,1.100000,1230100
2022-01-31,1.090000,1.220000,1.090000,1.200000,1.200000,1305500
2022-02-01,1.240000,1.280000,1.170000,1.240000,1.240000,1443200
2022-02-02,1.240000,1.250000,1.110000,1.130000,1.130000,1483100
2022-02-03,1.120000,1.150000,1.070000,1.090000,1.090000,1407900
2022-02-04,1.090000,1.120000,1.050000,1.120000,1.120000,957400
2022-02-07,1.140000,1.190000,1.060000,1.080000,1.080000,1345000
2022-02-08,1.100000,1.130000,1.070000,1.100000,1.100000,1097300
2022-02-09,1.110000,1.140000,1.100000,1.120000,1.120000,2368000
2022-02-10,1.080000,1.170000,1.070000,1.080000,1.080000,1891600
2022-02-11,1.080000,1.100000,1.000000,1.010000,1.010000,1883000
2022-02-14,1.020000,1.050000,1.000000,1.020000,1.020000,1250700
2022-02-15,1.060000,1.090000,1.030000,1.090000,1.090000,1026600
2022-02-16,1.080000,1.110000,1.060000,1.100000,1.100000,616200
2022-02-17,1.080000,1.100000,1.020000,1.020000,1.020000,763800
2022-02-18,1.030000,1.040000,0.950000,0.970000,0.970000,1645000
2022-02-22,0.990000,1.010000,0.930000,0.940000,0.940000,1066200
2022-02-23,0.960000,0.980000,0.920000,0.920000,0.920000,593900
2022-02-24,0.850000,1.070000,0.840000,1.070000,1.070000,1573500
2022-02-25,1.090000,1.120000,1.020000,1.120000,1.120000,1537700
2022-02-28,1.130000,1.230000,1.100000,1.170000,1.170000,1987700
2022-03-01,1.190000,1.190000,1.090000,1.100000,1.100000,1517600
2022-03-02,1.140000,1.170000,1.040000,1.050000,1.050000,1718000
2022-03-03,1.080000,1.090000,1.000000,1.010000,1.010000,1287500
2022-03-04,1.000000,1.030000,0.960000,0.990000,0.990000,1151100
2022-03-07,0.990000,1.160000,0.980000,1.100000,1.100000,5219000
2022-03-08,1.080000,1.080000,1.000000,1.010000,1.010000,2628400
2022-03-09,1.040000,1.050000,0.950000,0.960000,0.960000,2613500
2022-03-10,1.000000,1.080000,0.930000,1.070000,1.070000,9935300
2022-03-11,1.070000,1.080000,0.960000,0.970000,0.970000,3467600
2022-03-14,0.970000,1.010000,0.910000,0.940000,0.940000,3998800
2022-03-15,0.930000,0.970000,0.890000,0.910000,0.910000,2466000
2022-03-16,0.920000,1.210000,0.910000,1.140000,1.140000,21604000
2022-03-17,1.080000,1.080000,1.020000,1.060000,1.060000,7447700
2022-03-18,1.050000,1.130000,1.010000,1.120000,1.120000,4632400
2022-03-21,1.130000,1.140000,1.040000,1.120000,1.120000,3734300
2022-03-22,1.210000,1.280000,1.150000,1.170000,1.170000,9396300
2022-03-23,1.140000,1.260000,1.100000,1.220000,1.220000,4033300
2022-03-24,1.230000,1.540000,1.210000,1.520000,1.520000,7860800
2022-03-25,1.490000,1.520000,1.300000,1.330000,1.330000,4757500
2022-03-28,1.370000,1.370000,1.210000,1.270000,1.270000,4395200
2022-03-29,1.280000,1.360000,1.250000,1.280000,1.280000,4654200
2022-03-30,1.280000,1.380000,1.250000,1.260000,1.260000,3797600
2022-03-31,1.270000,1.290000,1.170000,1.190000,1.190000,2807500
2022-04-01,1.190000,1.200000,1.100000,1.150000,1.150000,2670400
2022-04-04,1.190000,1.280000,1.150000,1.190000,1.190000,4478100
2022-04-05,1.230000,1.250000,1.100000,1.120000,1.120000,4046100
2022-04-06,1.100000,1.110000,1.020000,1.060000,1.060000,2038000
2022-04-07,1.030000,1.060000,1.000000,1.040000,1.040000,2871200
2022-04-08,1.040000,1.050000,1.000000,1.010000,1.010000,1162700
2022-04-11,1.000000,1.020000,0.970000,1.010000,1.010000,1538600
2022-04-12,1.070000,1.080000,1.000000,1.050000,1.050000,3336200
2022-04-13,1.050000,1.060000,1.010000,1.050000,1.050000,1456000
2022-04-14,1.010000,1.050000,1.000000,1.020000,1.020000,1079600
2022-04-18,1.000000,1.020000,0.930000,0.930000,0.930000,2060800
2022-04-19,0.950000,0.980000,0.930000,0.970000,0.970000,1407000
2022-04-20,0.970000,1.030000,0.960000,1.010000,1.010000,1080600
2022-04-21,1.000000,1.020000,0.930000,0.930000,0.930000,2415800
2022-04-22,0.950000,0.950000,0.900000,0.930000,0.930000,1036900
2022-04-25,0.910000,0.930000,0.890000,0.910000,0.910000,1384800
2022-04-26,0.910000,0.920000,0.840000,0.840000,0.840000,1376500
2022-04-27,0.850000,0.860000,0.820000,0.830000,0.830000,903700
2022-04-28,0.840000,0.860000,0.790000,0.840000,0.840000,1075700
2022-04-29,0.840000,0.890000,0.800000,0.810000,0.810000,1036700
2022-05-02,0.810000,0.830000,0.770000,0.810000,0.810000,1103200
2022-05-03,0.820000,0.860000,0.820000,0.830000,0.830000,1672900
2022-05-04,0.860000,0.940000,0.840000,0.940000,0.940000,1222800
2022-05-05,0.920000,0.920000,0.860000,0.860000,0.860000,904400
2022-05-06,0.830000,0.870000,0.800000,0.840000,0.840000,845000
2022-05-09,0.820000,0.820000,0.770000,0.790000,0.790000,1118800
2022-05-10,0.790000,0.810000,0.720000,0.740000,0.740000,1303400
2022-05-11,0.730000,0.750000,0.660000,0.660000,0.660000,1346700
2022-05-12,0.660000,0.720000,0.640000,0.690000,0.690000,998300
2022-05-13,0.740000,0.790000,0.720000,0.750000,0.750000,1048600
2022-05-16,0.790000,0.800000,0.760000,0.760000,0.760000,760700
2022-05-17,0.780000,0.830000,0.760000,0.830000,0.830000,868000
2022-05-18,0.820000,0.840000,0.770000,0.780000,0.780000,731400
2022-05-19,0.770000,0.830000,0.770000,0.780000,0.780000,776700
2022-05-20,0.810000,0.820000,0.740000,0.790000,0.790000,625500
2022-05-23,0.810000,0.860000,0.800000,0.850000,0.850000,891800
2022-05-24,0.840000,0.840000,0.750000,0.780000,0.780000,730100
2022-05-25,0.780000,0.810000,0.760000,0.770000,0.770000,512300
2022-05-26,0.770000,0.800000,0.760000,0.790000,0.790000,509000
2022-05-27,0.800000,0.850000,0.800000,0.840000,0.840000,468400
